sample_id	sample_name	raw_path	region
"DA792_ASAP51_ctrl_NP19-36_SN"	"DA792_ASAP51_ctrl_NP19-36_SN"	"/path/to/backup/raquelgg_fs5_jakobssonlab/CTG_JGJSeq161_162_10x/220411_A00681_0640_AH5MCJDMXY/H5MCJDMXY/outs/fastq_path/10X/DA792"	"SN"
"DA794_ASAP54_ctrl_NP19-37_SN"	"DA794_ASAP54_ctrl_NP19-37_SN"	"/path/to/backup/raquelgg_fs5_jakobssonlab/CTG_JGJSeq161_162_10x/220411_A00681_0640_AH5MCJDMXY/H5MCJDMXY/outs/fastq_path/10X/DA794"	"SN"
"DA796_ASAP57_ctrl_NP19-45_SN"	"DA796_ASAP57_ctrl_NP19-45_SN"	"/path/to/backup/raquelgg_fs5_jakobssonlab/CTG_JGJSeq161_162_10x/220411_A00681_0640_AH5MCJDMXY/H5MCJDMXY/outs/fastq_path/10X/DA796"	"SN"
"MJ_ASAP6_ctrl_NP16-164_SN"	"MJ_ASAP6_ctrl_NP16-164_SN"	"/path/to/backup/ysharma_fs5_jakobssonlab/ASAPProject_RawData/Seq093_Batch1_Oct2020/ASAP6_Ctl_NP16-164"	"SN"
"AA_ASAP127_ctrl_NP19-218_SN"	"ASAP127_ctrl_NP19-218_SN"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"SN"
"AA_ASAP129_ctrl_NP22-37_SN"	"ASAP129_ctrl_NP22-37_SN"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"SN"
"AA_ASAP130_ctrl_NP22-75_SN"	"ASAP130_ctrl_NP22-75_SN"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"SN"
"AA_ASAP132_PD_NP16-285_SN"	"ASAP132_PD_NP16-285_SN"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"SN"
"AA_ASAP133_PD_NP17-232_SN"	"ASAP133_PD_NP17-232_SN"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"SN"
"AA_ASAP134_PD_NP19-91_SN"	"ASAP134_PD_NP19-91_SN"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"SN"
"AA_ASAP135_PD_NP19-137_SN"	"ASAP135_PD_NP19-137_SN"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"SN"
"AA_ASAP136_PD_NP21-04_SN"	"ASAP136_PD_NP21-04_SN"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"SN"
"AA_ASAP137_PD_NP23-21_SN"	"ASAP137_PD_NP23-21_SN"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"SN"
